registered_number,route,component,page_file,title,route_state,sequence_number,source_bytes,dependency_count,primary_component,dependency_files,missing_imports,image_media_signals,interaction_signals,personal_voice_signals,design_tokens,error_signals,generic_signals,unknown_navigation_targets,boredom_risk,source_fingerprint,gift_present,memory,gift,compliment,message,surprise
"59","/love-tamagotchi","LoveTamagotchiPage","src/pages/LoveTamagotchiPage.jsx","A Tiny Heart to Look After","sequence page 44","44","109116","10","LoveTamagotchi","src/pages/LoveTamagotchiPage.jsx | src/components/LoveTamagotchi.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","63","229","rounded-3xl bg-pink-50 border-4 border-pink-300 shadow-2xl text-6xl text-xs font-bold text-rose-600 bg-white","","","","LOW","72eb9381b92b","true","the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home","a Bageshwori memory pressed between two pages","You make Abu want to become gentler, steadier, and more worthy of your trust.","Samjhana, my Sanzu, Abu made the Love Tamagotchi room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. This is a reminder that you are loved in the","Open this when you miss Abu. You make Abu want to become gentler, steadier, and more worthy of your trust. This page is Abu’s a quiet “open when” note for your pocket for Bhuntu."
"60","/secret-vault","SecretVaultPage","src/pages/SecretVaultPage.jsx","The Secret Abu Saved","sequence page 45","45","110755","10","SecretVault","src/pages/SecretVaultPage.jsx | src/components/SecretVault.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","63","241","text-amber-400 rounded-3xl bg-slate-900 border-4 border-amber-400 shadow-2xl text-white font-ui text-green-400 text-rose-400","","","","LOW","78df4fe97fc3","true","the future light-blue scooter ride toward Bardiya","a voice-note moment for the nights you miss home","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","Samjhana, my Sanu, Abu made the Secret Vault room around the future light-blue scooter ride toward Bardiya. The secret is simple: Abu would still choose you in every version of the","The gift inside is not expensive; it is specific to you. Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight. This page is Abu’s a small surprise box with o"
"61","/love-tarot","LoveTarotPage","src/pages/LoveTarotPage.jsx","A Reading for Abu and Sanzu","sequence page 46","46","107999","10","LoveTarot","src/pages/LoveTarotPage.jsx | src/components/LoveTarot.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","54","228","rounded-3xl border-2 shadow-lg bg-purple-50 border-purple-300 bg-gradient-to-br from-indigo-900 to-purple-900 border-purple-500 text-purple-200","","","","LOW","0376ef1260c5","true","the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home","a voice-note moment for the nights you miss home","You make Abu want to become gentler, steadier, and more worthy of your trust.","Samjhana, my Samjhana, Abu made the Love Tarot room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. The secret is simple: Abu would still choose y","The gift inside is not expensive; it is specific to you. You make Abu want to become gentler, steadier, and more worthy of your trust. This page is Abu’s a small surprise box with "
"62","/memory-lane","MemoryLanePage","src/pages/MemoryLanePage.jsx","The Lane of Our First Memories","sequence page 47","47","321887","4","page-specific JSX","src/pages/MemoryLanePage.jsx | src/utils/mediaUtils.js | src/data/pageGiftData.js | src/data/pageNames.js","","32","8","4134","bg-[ text-[ text-xs font-black text-6xl text-8xl text-lg rounded-[2rem] shadow-xl rounded-[1.5rem]","","","","LOW","e21896e65c8d","true","Chau-Chau, Panipuri, momo, and the foods that became our language","a compliment saved for your next tired day","Your kindness is one of the reasons Abu keeps choosing you.","Samjhana, my Runchi, Abu made the Memory Lane room around Chau-Chau, Panipuri, momo, and the foods that became our language. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. Your kindness is one of the reasons Abu keeps choosing you. This page is Abu’s a Sakai-to-Nepalgunj "
"63","/hug-counter","HugCounterPage","src/pages/HugCounterPage.jsx","Hugs Abu Owes You","sequence page 48","48","113824","10","HugCounter","src/pages/HugCounterPage.jsx | src/components/HugCounter.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","81","232","text-yellow-500 text-orange-500 text-rose-500 text-purple-500 text-pink-600 to-hug from-rose-500 to-orange-500 from-pink-500 to-rose-500","","","","LOW","92746303a0cf","true","Chau-Chau, Panipuri, momo, and the foods that became our language","a birthday blessing written in Abu’s handwriting","Your kindness is one of the reasons Abu keeps choosing you.","Samjhana, my Bhuntu, Abu made the Hug Counter room around Chau-Chau, Panipuri, momo, and the foods that became our language. The gift inside is not expensive; it is specific to you","This is a reminder that you are loved in the details. Your kindness is one of the reasons Abu keeps choosing you. This page is Abu’s a tiny cinema ticket for one moment Abu would r"
"64","/love-crossword","LoveCrosswordPage","src/pages/LoveCrosswordPage.jsx","A Crossword Made of Our Clues","sequence page 49","49","117116","10","LoveCrossword","src/pages/LoveCrosswordPage.jsx | src/components/LoveCrossword.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","74","239","text-rose-500 font-ui text-left bg-white/80 rounded-2xl border-pink-200 shadow-sm text-xs font-bold text-gray-800","","","","LOW","78bdd92a646a","true","the future light-blue scooter ride toward Bardiya","a voice-note moment for the nights you miss home","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","Samjhana, my Runchi, Abu made the Love Crossword room around the future light-blue scooter ride toward Bardiya. The secret is simple: Abu would still choose you in every version of","The gift inside is not expensive; it is specific to you. Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight. This page is Abu’s a small surprise box with o"
"65","/love-radio","LoveRadioPage","src/pages/LoveRadioPage.jsx","Abu’s Late-Night Radio for You","sequence page 50","50","108014","10","LoveRadio","src/pages/LoveRadioPage.jsx | src/components/LoveRadio.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","55","229","rounded-3xl bg-amber-900 border-4 border-amber-700 shadow-2xl text-amber-100 rounded-2xl bg-amber-950 border-amber-800 text-center","","","","LOW","c4c3724c654c","true","Chau-Chau, Panipuri, momo, and the foods that became our language","a compliment saved for your next tired day","Your kindness is one of the reasons Abu keeps choosing you.","Samjhana, my Babe, Abu made the Love Radio room around Chau-Chau, Panipuri, momo, and the foods that became our language. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. Your kindness is one of the reasons Abu keeps choosing you. This page is Abu’s a Sakai-to-Nepalgunj "
"66","/blessing-tree","BlessingTreePage","src/pages/BlessingTreePage.jsx","A Tree of Abu’s Blessings","sequence page 51","51","107844","10","BlessingTree","src/pages/BlessingTreePage.jsx | src/components/BlessingTree.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","55","228","rounded-2xl bg-amber-50 border-4 border-amber-300 shadow-2xl bg-amber-200 rounded-b-md text-3xl bg-gray-600 rounded-full","","","","LOW","6dd3b5b2843b","true","the future light-blue scooter ride toward Bardiya","a bouquet of words for your soft days","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","Samjhana, my Bebo, Abu made the Blessing Tree room around the future light-blue scooter ride toward Bardiya. The gift inside is not expensive; it is specific to you.","This is a reminder that you are loved in the details. Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight. This page is Abu’s a future postcard from the lig"
"67","/love-vibe","LoveVibePage","src/pages/LoveVibePage.jsx","The Feeling You Leave in Every Room","sequence page 52","52","115832","10","LoveVibe","src/pages/LoveVibePage.jsx | src/components/LoveVibe.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","32","89","241","font-ui bg-white/80 rounded-2xl border-pink-200 shadow-sm text-xs font-bold text-gray-800 rounded-full bg-amber-100","","","","LOW","34acbfb594f3","true","the future light-blue scooter ride toward Bardiya","a Bageshwori memory pressed between two pages","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","Samjhana, my Babe, Abu made the Love Vibe room around the future light-blue scooter ride toward Bardiya. This is a reminder that you are loved in the details.","Open this when you miss Abu. Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight. This page is Abu’s a quiet “open when” note for your pocket for Runchi."
"68","/couple-quiz-2","CoupleQuiz2Page","src/pages/CoupleQuiz2Page.jsx","How Abu Remembers Our Details","registered but not in sequence","","321393","4","page-specific JSX","src/pages/CoupleQuiz2Page.jsx | src/utils/mediaUtils.js | src/data/pageGiftData.js | src/data/pageNames.js","","32","6","4136","bg-[ text-[ text-xs font-black text-violet-700/70 text-6xl text-8xl rounded-[2rem] shadow-xl text-lg","","","","LOW","76b18f420c64","true","the room-search conversation that started in Nepalgunj","a tiny memory ticket from Nepalgunj","You are the best part of every future Abu imagines.","Samjhana, my Sanzu, Abu made the Couple Quiz 2 room around the room-search conversation that started in Nepalgunj. A small surprise: Abu remembers more than he says.","Keep this for the next time distance feels loud. You are the best part of every future Abu imagines. This page is Abu’s a voice-note moment for the nights you miss home for Bhuntu."
"69","/promise-trio","PromiseTrioPage","src/pages/PromiseTrioPage.jsx","Three Little Promises for Our Future","registered but not in sequence","","321624","4","page-specific JSX","src/pages/PromiseTrioPage.jsx | src/utils/mediaUtils.js | src/data/pageGiftData.js | src/data/pageNames.js","","32","6","4133","bg-[ text-[ text-xs font-black text-6xl text-8xl text-lg rounded-[2rem] border-[ bg-white","","","","LOW","f8581ce47c0e","true","Water Park laughter and the day moving too quickly","a future postcard from the light-blue scooter road","Your “huss” can make a long day feel close again.","Samjhana, my Samjhana, Abu made the Three Promises room around Water Park laughter and the day moving too quickly. Read this slowly, Sanu. It was made for your exact heart.","This page is a soft place to land when your day is heavy. Your “huss” can make a long day feel close again. This page is Abu’s a Bageshwori memory pressed between two pages for San"
"70","/bento-box","BentoBoxPage","src/pages/BentoBoxPage.jsx","A Bento Box of Small Memories","sequence page 53","53","108192","10","BentoBox","src/pages/BentoBoxPage.jsx | src/components/BentoBox.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","56","228","rounded-3xl bg-rose-900 border-4 border-rose-700 shadow-2xl rounded-2xl bg-rose-100 text-rose-950 font-bold text-xs","","","","LOW","c674f7258ae0","true","late-night video calls between Nepalgunj and Sakai, Osaka","a bouquet of words for your soft days","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","Samjhana, my Bhoot, Abu made the Bento Box room around late-night video calls between Nepalgunj and Sakai, Osaka. The gift inside is not expensive; it is specific to you.","This is a reminder that you are loved in the details. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is Abu’s a future postcard from the l"
"71","/letter-tonight","LetterTonightPage","src/pages/LetterTonightPage.jsx","The Letter Abu Would Send Tonight","registered but not in sequence","","321276","4","page-specific JSX","src/pages/LetterTonightPage.jsx | src/utils/mediaUtils.js | src/data/pageGiftData.js | src/data/pageNames.js","","33","6","4132","bg-[ text-[ text-xs font-black text-6xl text-8xl rounded-lg shadow-xl rounded-[1.5rem] shadow-2xl","","","","LOW","7838e9d9ad42","true","Water Park laughter and the day moving too quickly","a future postcard from the light-blue scooter road","Your “huss” can make a long day feel close again.","Samjhana, my Samjhana, Abu made the Letter Abu Would Send Tonight room around Water Park laughter and the day moving too quickly. Read this slowly, Sanu. It was made for your exact","This page is a soft place to land when your day is heavy. Your “huss” can make a long day feel close again. This page is Abu’s a Bageshwori memory pressed between two pages for San"
"72","/love-coupon-generator","LoveCouponGeneratorPage","src/pages/LoveCouponGeneratorPage.jsx","Coupons Abu Would Give You","sequence page 54","54","123883","11","LoveCouponGenerator","src/pages/LoveCouponGeneratorPage.jsx | src/components/LoveCouponGenerator.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/whatsappHelper.js","","30","75","266","from-rose-500 to-pink-600 from-amber-500 to-rose-500 from-sky-500 to-indigo-600 from-purple-600 from-yellow-500 to-amber-600 from-pink-500","","","","LOW","1ce1dc94a41a","true","Water Park laughter and the day moving too quickly","a soft landing place for a difficult day","Your “huss” can make a long day feel close again.","Samjhana, my Bebo, Abu made the Love Coupon Generator room around Water Park laughter and the day moving too quickly. Keep this for the next time distance feels loud.","Read this slowly, Sanu. It was made for your exact heart. Your “huss” can make a long day feel close again. This page is Abu’s a bouquet of words for your soft days for Fuchee."
"73","/star-namer","StarNamerPage","src/pages/StarNamerPage.jsx","The Star Abu Named for Samjhana","sequence page 55","55","122961","11","StarNamer","src/pages/StarNamerPage.jsx | src/components/StarNamer.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/whatsappHelper.js","","33","68","263","ring-orion text-amber-400 font-ui bg-indigo-950/80 rounded-2xl border-indigo-500/30 text-white shadow-xl text-xs font-bold","","","","LOW","8965e0a925cb","true","the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home","a promise map for the places we still want to see","You make Abu want to become gentler, steadier, and more worthy of your trust.","Samjhana, my Bhuntu, Abu made the Star Namer room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. You make Abu want to become gentler, steadier, and more worthy of your trust. This page is Abu’s a t"
"74","/love-jar-notes","LoveJarNotesPage","src/pages/LoveJarNotesPage.jsx","Notes Abu Put in the Jar","sequence page 56","56","321343","4","page-specific JSX","src/pages/LoveJarNotesPage.jsx | src/utils/mediaUtils.js | src/data/pageGiftData.js | src/data/pageNames.js","","32","6","4133","bg-[ text-[ text-xs font-black text-6xl text-8xl text-lg rounded-[1.5rem] shadow-lg rounded-[2rem]","","","","LOW","9442b0b64541","true","the room-search conversation that started in Nepalgunj","a future postcard from the light-blue scooter road","You are the best part of every future Abu imagines.","Samjhana, my Samjhana, Abu made the Love Jar Notes room around the room-search conversation that started in Nepalgunj. Read this slowly, Sanu. It was made for your exact heart.","This page is a soft place to land when your day is heavy. You are the best part of every future Abu imagines. This page is Abu’s a Bageshwori memory pressed between two pages for S"
"75","/sweet-compliments","SweetComplimentsPage","src/pages/SweetComplimentsPage.jsx","The Sweet Things Abu Means","sequence page 57","57","3641","2","SweetCompliments","src/pages/SweetComplimentsPage.jsx | src/components/SweetCompliments.jsx","","0","5","3","","","","","MEDIUM","6359b652c1da","true","the future light-blue scooter ride toward Bardiya","a promise map for the places we still want to see","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","Samjhana, my Bebo, Abu made the Sweet Compliments room around the future light-blue scooter ride toward Bardiya. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight. This page is Abu’s a ti"
"76","/kiss-collector","KissCollectorPage","src/pages/KissCollectorPage.jsx","Kisses Saved for the Day We Meet","sequence page 58","58","111944","10","KissCollector","src/pages/KissCollectorPage.jsx | src/components/KissCollector.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","65","232","text-pink-400 text-xs font-bold text-gray-500 rounded-full border-3 shadow-md ring-2 ring-offset-2 ring-pink-500","","","","LOW","103999cb1e5d","true","late-night video calls between Nepalgunj and Sakai, Osaka","a birthday blessing written in Abu’s handwriting","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","Samjhana, my Sanzu, Abu made the Kiss Collector room around late-night video calls between Nepalgunj and Sakai, Osaka. The gift inside is not expensive; it is specific to you.","This is a reminder that you are loved in the details. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is Abu’s a tiny cinema ticket for one"
"77","/love-memory-flip","LoveMemoryFlipPage","src/pages/LoveMemoryFlipPage.jsx","Turn Over an Abu Memory","sequence page 59","59","120245","11","LoveMemoryFlip","src/pages/LoveMemoryFlipPage.jsx | src/components/LoveMemoryFlip.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/whatsappHelper.js","","32","82","249","text-pink-500 font-ui bg-white/80 rounded-3xl border-2 border-pink-300 shadow-md rounded-full text-xs font-black","","","","LOW","bbbf84694a1e","true","dropping you at the Language Institute before Japan","a promise folded into a keepsake card","Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves.","Samjhana, my Bhoot, Abu made the Love Memory Flip room around dropping you at the Language Institute before Japan. This page is a soft place to land when your day is heavy.","A small surprise: Abu remembers more than he says. Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves. This page is Abu’s a compliment save"
"78","/sound-wave","SoundWavePage","src/pages/SoundWavePage.jsx","The Sound of Your Name","sequence page 60","60","118466","11","SoundWave","src/pages/SoundWavePage.jsx | src/components/SoundWave.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/whatsappHelper.js","","32","65","247","text-purple-400 font-ui rounded-3xl bg-gradient-to-b from-purple-950 via-slate-900 to-indigo-950 text-white border-2 border-purple-500/40","","","","LOW","6fae4f85078f","true","late-night video calls between Nepalgunj and Sakai, Osaka","a memory ribbon tied to your favourite name","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","Samjhana, my Bhuntu, Abu made the Sound Wave room around late-night video calls between Nepalgunj and Sakai, Osaka. The secret is simple: Abu would still choose you in every versio","The gift inside is not expensive; it is specific to you. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is Abu’s a soft landing place for "
"79","/love-passport-stamps","LovePassportStampsPage","src/pages/LovePassportStampsPage.jsx","Stamps from Our Story","sequence page 61","61","3942","2","LovePassportStamps","src/pages/LovePassportStampsPage.jsx | src/components/LovePassportStamps.jsx","","0","7","4","","","","","MEDIUM","3bc13dcf7b07","true","the dream of Pokhara, Manang, and Mustang waiting for us","a future postcard from the light-blue scooter road","You are beautiful in the moments you never think to pose for.","Samjhana, my Samjhana, Abu made the Love Passport Stamps room around the dream of Pokhara, Manang, and Mustang waiting for us. Read this slowly, Sanu. It was made for your exact he","This page is a soft place to land when your day is heavy. You are beautiful in the moments you never think to pose for. This page is Abu’s a Bageshwori memory pressed between two p"
"80","/mood-ring","MoodRingPage","src/pages/MoodRingPage.jsx","The Mood Abu Notices First","sequence page 62","62","107900","10","MoodRing","src/pages/MoodRingPage.jsx | src/components/MoodRing.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","59","228","bg-rose-500 bg-purple-500 bg-amber-400 rounded-full bg-slate-900 border-4 border-pink-400 shadow-2xl text-white text-pink-400","","","","LOW","cc0dd9390c33","true","Chau-Chau, Panipuri, momo, and the foods that became our language","a bouquet of words for your soft days","Your kindness is one of the reasons Abu keeps choosing you.","Samjhana, my Sanu, Abu made the Mood Ring room around Chau-Chau, Panipuri, momo, and the foods that became our language. The gift inside is not expensive; it is specific to you.","This is a reminder that you are loved in the details. Your kindness is one of the reasons Abu keeps choosing you. This page is Abu’s a future postcard from the light-blue scooter r"
"81","/love-tetris","LoveTetrisPage","src/pages/LoveTetrisPage.jsx","A Tower of Tiny Memories","sequence page 243","243","116643","10","LoveTetris","src/pages/LoveTetrisPage.jsx | src/components/LoveTetris.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","80","230","font-ui text-center rounded-full bg-gradient-to-r from-pink-500/20 to-purple-500/20 border-pink-300 text-rose-600 font-bold text-xs","","","","LOW","46015e67ff86","true","Bageshwori Temple and the prayers we carried home","a Bageshwori memory pressed between two pages","Your smile makes Abu forget what he was worried about.","Samjhana, my Samjhana, Abu made the Love Tetris room around Bageshwori Temple and the prayers we carried home. This is a reminder that you are loved in the details.","Open this when you miss Abu. Your smile makes Abu forget what he was worried about. This page is Abu’s a quiet “open when” note for your pocket for Sanzu."
"82","/cupid-archery","CupidArcheryPage","src/pages/CupidArcheryPage.jsx","Aiming Abu’s Good Wishes Your Way","sequence page 63","63","114435","10","CupidArchery","src/pages/CupidArcheryPage.jsx | src/components/CupidArchery.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","75","231","rounded-full bg-amber-100 text-amber-800 font-extrabold text-xs bg-indigo-100 text-indigo-700 bg-rose-100 text-rose-600 rounded-3xl","","","","LOW","5eaf20259513","true","the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home","a memory ribbon tied to your favourite name","You make Abu want to become gentler, steadier, and more worthy of your trust.","Samjhana, my Bebo, Abu made the Cupid Archery room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. The secret is simple: Abu would still choose yo","The gift inside is not expensive; it is specific to you. You make Abu want to become gentler, steadier, and more worthy of your trust. This page is Abu’s a soft landing place for a"
"83","/love-alarm","LoveAlarmPage","src/pages/LoveAlarmPage.jsx","The Wake-Up Note from Abu","sequence page 64","64","114475","10","LoveAlarm","src/pages/LoveAlarmPage.jsx | src/components/LoveAlarm.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","75","234","rounded-3xl bg-gradient-to-b from-slate-900 via-slate-800 to-slate-900 border-4 border-pink-400 shadow-2xl text-white rounded-full","","","","LOW","dbee7a74b9df","true","Bageshwori Temple and the prayers we carried home","a bouquet of words for your soft days","Your smile makes Abu forget what he was worried about.","Samjhana, my Bebo, Abu made the Love Alarm room around Bageshwori Temple and the prayers we carried home. The gift inside is not expensive; it is specific to you.","This is a reminder that you are loved in the details. Your smile makes Abu forget what he was worried about. This page is Abu’s a future postcard from the light-blue scooter road f"
"84","/couple-bucket-list-2","CoupleBucketList2Page","src/pages/CoupleBucketList2Page.jsx","Our Next Places Together","sequence page 65","65","321546","4","page-specific JSX","src/pages/CoupleBucketList2Page.jsx | src/utils/mediaUtils.js | src/data/pageGiftData.js | src/data/pageNames.js","","32","6","4136","bg-[ text-[ text-xs font-black text-6xl text-8xl text-lg rounded-[2rem] bg-white shadow-xl","","generic/randomized idea","","LOW","d006f5b3d2f8","true","late-night video calls between Nepalgunj and Sakai, Osaka","a private letter from Abu","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","Samjhana, my Bhuntu, Abu made the Couple Bucket List 2 room around late-night video calls between Nepalgunj and Sakai, Osaka. This is a reminder that you are loved in the details.","Open this when you miss Abu. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is Abu’s a promise folded into a keepsake card for Sanu."
"85","/love-quiz-advanced","LoveQuizAdvancedPage","src/pages/LoveQuizAdvancedPage.jsx","The Details Abu Never Forgets","registered but not in sequence","","321373","4","page-specific JSX","src/pages/LoveQuizAdvancedPage.jsx | src/utils/mediaUtils.js | src/data/pageGiftData.js | src/data/pageNames.js","","32","6","4138","bg-[ text-[ text-teal-200 text-xs font-black text-6xl text-8xl rounded-[2rem] border-teal-100/15 bg-white/[.06]","","","","LOW","1186183dbc33","true","the day “Abhay” became “Abu” because you made it yours","a quiet “open when” note for your pocket","You are the person behind every name Abu says with a softer voice.","Samjhana, my Sanu, Abu made the Love Quiz Advanced room around the day “Abhay” became “Abu” because you made it yours. This page is a soft place to land when your day is heavy.","A small surprise: Abu remembers more than he says. You are the person behind every name Abu says with a softer voice. This page is Abu’s a promise map for the places we still want "
"86","/love-meter-deluxe","LoveMeterDeluxePage","src/pages/LoveMeterDeluxePage.jsx","Abu’s Measureless Love Meter","sequence page 66","66","112299","10","LoveMeterDeluxe","src/pages/LoveMeterDeluxePage.jsx | src/components/LoveMeterDeluxe.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","69","229","to-sync text-5xl text-7xl font-extrabold text-transparent bg-clip-text bg-gradient-to-r from-rose-500 to-pink-600 font-mono","","","","LOW","f5a8f1867c4e","true","dropping you at the Language Institute before Japan","a tiny memory ticket from Nepalgunj","Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves.","Samjhana, my Runchi, Abu made the Love Meter Deluxe room around dropping you at the Language Institute before Japan. A small surprise: Abu remembers more than he says.","Keep this for the next time distance feels loud. Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves. This page is Abu’s a voice-note moment"
"87","/love-envelope","LoveEnvelopePage","src/pages/LoveEnvelopePage.jsx","An Envelope from Abu","sequence page 67","67","121264","11","LoveEnvelope","src/pages/LoveEnvelopePage.jsx | src/components/LoveEnvelope.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/whatsappHelper.js","","32","83","257","from-amber-400 to-amber-600 from-rose-500 to-pink-600 from-purple-500 to-indigo-600 text-rose-500 font-ui bg-white/80 rounded-2xl","","","","LOW","8325d209e528","true","late-night video calls between Nepalgunj and Sakai, Osaka","a Bageshwori memory pressed between two pages","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","Samjhana, my Bebo, Abu made the Love Envelope room around late-night video calls between Nepalgunj and Sakai, Osaka. This is a reminder that you are loved in the details.","Open this when you miss Abu. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is Abu’s a quiet “open when” note for your pocket for Fuchee."
